"account_catalog_id","number","name","description","control_account","is_control","is_transaction","status_type","created_by","created_date","last_modified_by","last_modified_date","balance","outlet_id"
"273d10e6-38dc-4e2c-81fd-45d24b8f30e5","1241","ANTICIPOS ISR","Cuenta Anticipo de pago Sobre la Renta - Cuenta Control Impuestos Pagados por Adelantado","2ad7af7e-50d9-4fcc-8116-ad94d75e04c0",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.872","k.guzman","2021-02-01 17:26:03.872","3370626.11","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"c71538aa-32aa-4e0a-b5d6-ce59aa534886","1242","IMP. ADELANTADO NORMA DGII 13.11","Cuenta Imp. Adelantado Norma DGII 13.11","2ad7af7e-50d9-4fcc-8116-ad94d75e04c0",True,False,"ENABLED","k.guzman","2021-02-01 17:26:03.853","k.guzman","2021-02-01 17:26:03.853","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"f712589f-863b-4692-be7d-37bc71bf910d","125","INVENTARIO MATERIAL GASTABLE","Cuenta inventario de material gastable","b615cab7-4eff-4ba3-b95f-70239869c0e3",True,False,"ENABLED","k.guzman","2021-02-01 17:26:03.873","k.guzman","2021-02-01 17:26:03.873","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"5ee64713-9c96-4fde-8ceb-a786a20ae52a","1251","FORMULARIOS IMPRESOS","Cuenta Formularios Impresos - Cuenta control Inventario Material Gastable","f712589f-863b-4692-be7d-37bc71bf910d",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.874","k.guzman","2021-02-01 17:26:03.874","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"8db0eb54-5c90-4a31-887e-1fd1cd996207","1252","PAPELERIA","Cuenta Papeleria  - Cuenta control Inventario Material Gastable","f712589f-863b-4692-be7d-37bc71bf910d",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.875","k.guzman","2021-02-01 17:26:03.875","-45000.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"8082708b-1298-4cc8-9830-17acab33d7e5","13","INVERSIONES","Cuenta Control Inversiones","b615cab7-4eff-4ba3-b95f-70239869c0e3",True,False,"ENABLED","k.guzman","2021-02-01 17:26:03.876","k.guzman","2021-02-01 17:26:03.876","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"27e3a1ed-7062-4010-b041-08d11421d8c0","131","CERTIFICADO DE INVERSION","Cuenta Certificado de Inversion - Cuenta control Inversiones","8082708b-1298-4cc8-9830-17acab33d7e5",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.877","k.guzman","2021-02-01 17:26:03.877","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"8dcff183-e4fd-4501-bd3f-17d2d358dc65","14","PROPIEDAD PLANTA Y EQUIPO","Cuenta control Propiedad Planta y Equipo","2f8cee32-92d8-40bb-9dcd-522bbe068285",True,False,"ENABLED","k.guzman","2021-02-01 17:26:03.878","k.guzman","2021-02-01 17:26:03.878","7494446.49","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"078a1130-c7f7-4289-b8ef-8a121719989a","141","EQUIPOS DE OFICINA","Cuenta Equipos de Oficina - Cuenta Control Propiedad e Planta y equipo","8dcff183-e4fd-4501-bd3f-17d2d358dc65",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.879","k.guzman","2021-02-01 17:26:03.879","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"9a09ab18-2460-44f3-a1d1-31e1d5588386","1412","MOBILIARIOS DE OFICINA","Cuenta Mobiliario de Oficiana - Cuenta control prepiedad Planta y Equipo","8dcff183-e4fd-4501-bd3f-17d2d358dc65",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.881","k.guzman","2021-02-01 17:26:03.881","7494446.49","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"7ad022b1-ba64-4697-968b-c0c189d07934","1413","EQUIPOS DE COMPUTADORAS","Cuenta Equipos de Computadoras - Cuenta control prepiedad Planta y Equipo","8dcff183-e4fd-4501-bd3f-17d2d358dc65",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.888","k.guzman","2021-02-01 17:26:03.888","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
